Survey Language,Timestamp,Age,Gender,Preferred Languages,Current Occupation,Last School Attended,Highest Educational Attainment,Associate Program,Undergraduate Program D,Graduate Program D,Postgraduate Program D,Undergraduate Program M,Graduate Program M,Undergraduate Program B,PREI01,PREI02,PREI03,PREI04,PREI05,PREI06,PREI07,PREI08,PREI09,PREI10,QPREK01,QPREK02,QPREK03,QPREK04,QPREK05,QPREK06,QPREK07,QPREK08,QPREK09,QPREK10,QPREK11,QPREK12,QPREK13,QPREK14,QPREK15,QPREK16,POSTI01,POSTI02,POSTI03,POSTI04,POSTI05,POSTI06,POSTI07,POSTI08,POSTI09,POSTI10,QPOSTK01,QPOSTK02,QPOSTK03,QPOSTK04,QPOSTK05,QPOSTK06,QPOSTK07,QPOSTK08,QPOSTK09,QPOSTK10,QPOSTK11,QPOSTK12,QPOSTK13,QPOSTK14,QPOSTK15,QPOSTK16,FB01,FB02,FB03,FB04,FB05,FB06,BUGS,FB07,FB08,FB09,FB10,FB11,Other Comments/Suggestions,PRE Interest,POST Interest,PRE Knowledge,POST Knowledge,,,,,,,PREK01,PREK02,PREK03,PREK04,PREK05,PREK06,PREK07,PREK08,PREK09,PREK10,PREK11,PREK12,PREK13,PREK14,PREK15,PREK16,POSTK01,POSTK02,POSTK03,POSTK04,POSTK05,POSTK06,POSTK07,POSTK08,POSTK09,POSTK10,POSTK11,POSTK12,POSTK13,POSTK14,POSTK15,POSTK16
ENG,6/28/2023 16:39:30,20,Male,"Filipino, English",Student,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Computer Engineering,3,4,4,4,5,4,4,4,3,3,"An email from a known friend or family member, inviting you to a wedding.",Diligently follow the instructions provided.,I will inform my friends and family regarding the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I know that I can share the OTP only with someone identifying as a representative of the company where the OTP came from.,I will wait for someone to contact me and I will provide the OTP only if necessary.,I will give the information only if the caller identifies as an official bank representative.,I can provide my credit/debit card information especially if the case is urgent.,Opening email attachments from unknown senders.,Improving your internet connection speed,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Click on the advertisement to claim a special offer or prize.,CAPTCHAs become a burden for website users and should be removed to improve user experience.,Username and password verification,4,4,4,4,5,4,4,4,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,,5,5,5,5,5,,38,39,5,16,,,,,,,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 17:20:45,22,Male,"Filipino, English",Student,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Computer Science,4,5,4,4,5,5,5,4,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,5,5,4,5,5,5,4,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,3,5,5,5,5,5,N/A,4,5,4,3,4,N/A,42,43,16,16,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 17:23:38,26,Male,"Filipino, English",Python Developer,Asia Pacific College,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Information Technology,4,4,4,3,5,5,5,5,1,1,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,4,4,4,5,5,5,5,1,1,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,,4,4,5,4,4,,37,39,16,16,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FIL,6/28/2023 18:20:41,20,Male,"Filipino, English",Estudyante,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,BA Creative Writing,,,,,,2,5,5,3,5,4,4,4,5,4,Isang email mula sa opisina ng Pangalawang Pangulo na nagpapahayag na nanalo ka ng malaking halaga ng pera mula sa kanilang raffle.,Mag-re-report sa email bilang spam o phishing at agad na buburahin ang email.,Agad kong babaguhin ang password ng account na nakompromiso sa data leak.,"Siguraduhin kong mayroon itong hindi bababa sa 6 na mga karakter: kombinasyon ng mga titik, numero, at bantas o punctuation.",Mga pekeng website na may bahagyang diperensiya sa link upang maging kamukha ng mga sikat na mga website.,Ang pag-click sa link upang suriin kung ligtas o hindi ang website.,Isisikreto ko ang OTP at isusumite ito sa mga site na pinagkakatiwalaan ko.,Hindi ko papansinin ang mensahe.,Ang tawag ay posibleng isang panloloko.,Maaaring ipagwalang-bahala ko ang tumatawag at tapusin ang tawag.,Regular na pag-uupdate ng antivirus software at mga operating system.,Pagkasira ng mga mahahalagang file at data.,"Isang uri ng online na patalastas na biglaang lumilitaw bilang isang bagong window o tab sa web browser, kadalasang kahit walang interaksyon mula sa gumagamit.",Wag pansinin o isara ang pop-up nang hindi ito pinipindot at magpatuloy sa pag-browse.,Pinipigilan ng CAPTCHAs ang mga automated bots na makapasok sa website.,Pag-verify ng username at password.,3,5,5,5,4,4,3,3,5,5,Isang email mula sa opisina ng Pangalawang Pangulo na nagpapahayag na nanalo ka ng malaking halaga ng pera mula sa kanilang raffle.,Mag-re-report sa email bilang spam o phishing at agad na buburahin ang email.,HINDI ko gagamitin ang account na iyon dahil nabiktima na ito ng data leak.,"Siguraduhin kong mayroon itong hindi bababa sa 6 na mga karakter: kombinasyon ng mga titik, numero, at bantas o punctuation.",Mga pekeng website na may bahagyang diperensiya sa link upang maging kamukha ng mga sikat na mga website.,Ang pag-click sa link upang suriin kung ligtas o hindi ang website.,Isisikreto ko ang OTP at isusumite ito sa mga site na pinagkakatiwalaan ko.,Hindi ko papansinin ang mensahe.,Ang tawag ay posibleng isang panloloko.,Maaaring ipagwalang-bahala ko ang tumatawag at tapusin ang tawag.,Regular na pag-uupdate ng antivirus software at mga operating system.,Pagkasira ng mga mahahalagang file at data.,"Isang uri ng online na patalastas na biglaang lumilitaw bilang isang bagong window o tab sa web browser, kadalasang kahit walang interaksyon mula sa gumagamit.",Wag pansinin o isara ang pop-up nang hindi ito pinipindot at magpatuloy sa pag-browse.,Pinipigilan ng CAPTCHAs ang mga automated bots na makapasok sa website.,Pag-verify ng username at password.,5,4,5,4,5,5,,4,4,4,3,3,"Mag-introduce pa ng mga lebel kung saan tuturuan ang user ng iba pang uri ng hacking at paano ma-kontra ang mga ito (man-in-the-middle attacks, pagsugpo sa mga RATs, mas mainam na proseso ng pag-uupdate ng antivirus or software, etc.)",41,42,15,15,,,,,,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 19:36:54,22,Male,Filipino,Student,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Computer Science,3,4,3,2,3,2,2,2,2,1,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",Hacking into a user's device and monitoring what they type.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,5,5,4,5,4,5,4,2,1,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",Hacking into a user's device and monitoring what they type.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will wait for someone to contact me and I will provide the OTP only if necessary.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,5,5,5,4,5,,5,5,5,5,5,,24,39,15,14,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
ENG,6/28/2023 22:31:31,31,Female,English,Self employed ,Pamantasan ng Lungsod ng Maynila,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Architecture ,4,4,3,3,4,4,3,3,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,3,3,4,4,4,4,3,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,,5,5,5,5,5,,34,35,16,16,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 23:01:04,26,Female,English,Java Developer,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Architecture,3,4,5,2,5,5,5,5,2,2,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,3,3,5,5,5,5,1,1,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,,5,5,5,5,4,,38,38,16,16,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 23:03:36,39,Female,"Filipino, English",Supervisor,UPLB,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Food Technology,4,4,4,4,5,5,5,5,3,1,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,5,5,1,1,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,,5,5,5,4,4,,40,42,16,16,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 23:07:40,22,Female,"Filipino, English",Full-time UI/UX Designer,Ateneo de Manila University,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BFA Information Design,4,3,2,2,3,3,4,3,2,2,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,3,4,4,5,4,4,4,2,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,4,4,4,5,,3,4,4,2,2,"It does get repetitive, given that theres only limited number of game modes (not sure if this is the right term) to play, but the variations make it entertaining. Consistency in the game design would be nice but right now it is a fun and functioning game, nice to play and learn :] I do suggest making the font more readable for the informative part, the playful font gets too distracting.",28,37,16,16,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENG,6/28/2023 23:12:07,21,Male,English,Student,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Computer Science,3,4,4,3,4,4,4,4,3,4,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will wait for someone to contact me and I will provide the OTP only if necessary.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,3,5,4,4,4,4,4,4,4,4,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will wait for someone to contact me and I will provide the OTP only if necessary.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,,5,5,4,4,4,,37,40,15,15,,,,,,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
ENG,6/29/2023 10:14:45,50,Female,"Filipino, English",Housewife,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Food Technology,3,5,4,4,5,4,4,4,3,3,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Double-checking the accuracy of website links before accessing it.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,4,5,5,5,5,5,4,4,4,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Double-checking the accuracy of website links before accessing it.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,4,4,4,4,4,,5,5,4,4,4,Clearer instruction for those non techie users,39,45,15,15,,,,,,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
ENG,6/29/2023 12:00:21,22,Male,"Filipino, English",Student,UP Diliman,"Undergraduate (e.g., BA, BBA, BS)",,,,,,,BS Computer Science,4,5,5,5,5,5,4,4,3,4,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Clicking on the link to check if the website is safe or not.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,4,5,5,5,5,5,5,5,3,4,An email from the office of the Vice President announcing that you've won a large amount of money from their raffle.,Report it as spam or phishing and immediately delete it.,I will immediately change the password of the account that has been involved in the data breach.,"I make sure that it contains at least 6 characters: a combination of letters, numbers, and punctuation.",A fake website with a slightly altered domain name made to resemble popular websites.,Double-checking the accuracy of website links before accessing it.,I keep the OTP a secret and enter it into sites I trust.,I will ignore the message.,The call is potentially a scam.,I can turn a deaf ear to the caller and end the call.,Regularly updating antivirus software and operating systems.,Corrupting important files and data,"A form of online advertising that appears as a new browser window or tab, often without user interaction.",Ignore or close the popup without interacting and continue browsing.,CAPTCHAs prevent automated bots from accessing the sites.,Username and password verification,5,5,5,5,5,5,,5,5,3,3,3,,44,46,16,15,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
